Area,Price,Room,Room_Area,Lon,Lat,Zona
91,320000.0,4,22.75,4.983191,52.294198,1
66,465000.0,3,22.0,4.917899,52.386198,4
35,340000.0,2,17.5,4.898311,52.373509,3
111,375000.0,5,22.2,4.970987,52.301346,1
93,595000.0,3,31.0,4.910003,52.356903,3
92,525000.0,3,30.666666666666668,4.936101,52.371484,4
61,245000.0,3,20.33333333333333,4.789682,52.355404,2
85,275000.0,4,21.25,4.95037,52.399252,4
72,575000.0,2,36.0,4.931839,52.369014,4
70,250000.0,3,23.33333333333333,4.968806,52.291803,1
165,975000.0,5,33.0,4.946186,52.373257,4
52,375000.0,2,26.0,4.875248,52.376809,0
159,1100000.0,5,31.8,4.919919,52.338283,3
102,750000.0,3,34.0,4.877406,52.394832,0
55,439000.0,3,18.33333333333333,4.90487,52.374978,3
57,375000.0,2,28.5,4.91638,52.352165,3
66,445000.0,3,22.0,4.909207,52.369475,3
77,325000.0,4,19.25,4.947655,52.395417,4
57,415000.0,2,28.5,4.865612,52.373199,0
43,300000.0,2,21.5,4.868786,52.365466,0
88,915000.0,5,17.6,4.887412,52.377742,3
50,350000.0,3,16.666666666666668,4.85167,52.366405,0
135,1025000.0,4,33.75,4.875881,52.347368,0
177,895000.0,4,44.25,4.924895,52.373122,4
59,350000.0,2,29.5,4.84399,52.362946,0
65,265000.0,3,21.666666666666668,4.81787,52.383684,2
100,500000.0,4,25.0,4.802122,52.346011,2
106,295000.0,4,26.5,4.977496,52.295032,1
113,995000.0,3,37.66666666666666,4.888199,52.374321,3
54,385000.0,2,27.0,4.889927,52.348587,3
89,550000.0,4,22.25,4.870523,52.365141,0
40,325000.0,2,20.0,4.862992,52.365,0
62,225000.0,2,31.0,4.957403,52.309773,1
66,395000.0,3,22.0,4.885793,52.324797,3
102,425000.0,4,25.5,4.789341,52.380775,2
64,525000.0,4,16.0,4.878779,52.368556,0
88,400000.0,4,22.0,4.80651,52.359451,2
50,250000.0,2,25.0,4.959052,52.3958,4
41,360000.0,2,20.5,4.873624,52.382635,0
154,1050000.0,4,38.5,4.968819,52.373001,4
50,290000.0,2,25.0,4.834901,52.378363,0
50,469000.0,3,16.666666666666668,4.893043,52.37844,3
74,625000.0,3,24.666666666666668,4.89965,52.366621,3
79,540000.0,4,19.75,4.88439,52.413734,0
96,285000.0,4,24.0,4.972596,52.317512,1
168,859000.0,3,56.0,5.016505,52.350556,1
63,275000.0,2,31.5,4.93924,52.396536,4
73,375000.0,4,18.25,4.826759,52.356709,2
89,399500.0,2,44.5,4.807068,52.362692,2
103,430000.0,4,25.75,4.807703,52.363646,2
141,1300000.0,4,35.25,4.904363,52.333206,3
130,1750000.0,3,43.333333333333336,4.872151,52.336348,0
109,950000.0,4,27.25,4.879612,52.377871,0
150,1450000.0,3,50.0,4.88987,52.370706,3
69,285000.0,3,23.0,4.979002,52.318782,1
54,300000.0,2,27.0,4.846858,52.384197,0
166,1500000.0,4,41.5,4.857216,52.325762,0
107,685000.0,4,26.75,4.868754,52.341846,0
178,4495000.0,5,35.6,4.89429,52.373106,3
171,989000.0,5,34.2,4.893261,52.419532,4
100,765000.0,4,25.0,4.964853,52.409986,4
118,665000.0,4,29.5,4.938738,52.356081,4
183,2475000.0,4,45.75,4.897473,52.358943,3
98,475000.0,4,24.5,4.83852,52.379072,0
78,300000.0,4,19.5,4.950977,52.393821,4
103,350000.0,4,25.75,4.809689,52.378,2
45,450000.0,2,22.5,4.9064,52.358857,3
145,600000.0,4,36.25,4.799931,52.334488,2
39,350000.0,2,19.5,4.874462,52.38503,0
100,595000.0,3,33.333333333333336,4.84313,52.359998,0
42,335000.0,2,21.0,4.862224,52.364187,0
154,1295000.0,4,38.5,4.867645,52.348806,0
103,825000.0,3,34.333333333333336,4.885645,52.35602,3
85,325000.0,4,21.25,4.976098,52.308383,1
115,450000.0,3,38.333333333333336,4.798695,52.352124,2
125,1450000.0,2,62.5,4.891701,52.367182,3
99,585000.0,3,33.0,4.835845,52.366451,0
105,1200000.0,4,26.25,4.886034,52.379546,3
153,1550000.0,5,30.6,4.88242,52.360824,3
147,1250000.0,4,36.75,4.891955,52.38514,3
121,998000.0,2,60.5,4.891161,52.378843,3
54,395000.0,3,18.0,4.857567,52.370557,0
85,935000.0,3,28.33333333333333,4.8887,52.365003,3
63,1050000.0,3,21.0,4.90885,52.365524,3
110,729000.0,5,22.0,4.90132,52.375059,3
130,699000.0,5,26.0,4.788762,52.344183,2
25,400000.0,2,12.5,4.962333,52.362891,4
102,550000.0,4,25.5,4.858163,52.379474,0
93,975000.0,3,31.0,4.882903,52.354535,3
79,295000.0,3,26.33333333333333,4.807977,52.357443,2
71,350000.0,4,17.75,4.803337,52.378625,2
110,685000.0,4,27.5,4.901539,52.333097,3
165,1275000.0,5,33.0,4.882122,52.366395,3
48,439000.0,2,24.0,4.917931,52.367418,3
95,785000.0,5,19.0,4.861607,52.367915,0
68,395000.0,3,22.666666666666668,4.920126,52.388122,4
78,595000.0,3,26.0,4.893924,52.379828,3
117,875000.0,3,39.0,4.906839,52.371272,3
29,295000.0,2,14.5,4.887596,52.367946,3
80,520000.0,2,40.0,4.872336,52.33033,0
57,439000.0,3,19.0,4.862129,52.347398,0
66,410000.0,4,16.5,4.920472,52.357987,3
45,350000.0,2,22.5,4.873726,52.382654,0
120,835000.0,5,24.0,4.88447,52.382635,3
111,985000.0,5,22.2,4.890089,52.371683,3
56,425000.0,2,28.0,4.943696,52.338795,1
58,635000.0,3,19.33333333333333,4.907085,52.372907,3
151,999500.0,3,50.333333333333336,4.907627,52.376281,3
151,1050000.0,4,37.75,4.880571,52.362038,3
60,225000.0,3,20.0,4.790457,52.35459,2
165,1099000.0,5,33.0,4.875455,52.347348,0
103,895000.0,3,34.333333333333336,4.885645,52.35602,3
146,799000.0,5,29.2,4.858845,52.343402,0
129,719000.0,4,32.25,4.802093,52.343737,2
37,285000.0,2,18.5,4.807805,52.344914,2
37,285000.0,2,18.5,4.807805,52.344914,2
111,900000.0,2,55.5,4.887092,52.376105,3
93,475000.0,3,31.0,5.009767,52.349453,1
110,545000.0,4,27.5,4.789083,52.379219,2
94,685000.0,3,31.33333333333333,4.873591,52.374016,0
81,650000.0,3,27.0,4.897432,52.366729,3
207,1100011.0,5,41.4,4.90048,52.400948,4
81,1200000.0,3,27.0,4.858004,52.3574,0
214,1495000.0,5,42.8,5.029122,52.41355,4
47,295000.0,2,23.5,4.860857,52.380834,0
117,1000000.0,4,29.25,4.892522,52.367449,3
162,1150000.0,5,32.4,4.890591,52.375342,3
173,1350000.0,5,34.6,4.887183,52.355065,3
90,469000.0,3,30.0,4.903526,52.374705,3
107,669000.0,5,21.4,4.89278,52.420465,4
71,300000.0,2,35.5,4.976454,52.306326,1
49,425000.0,2,24.5,4.852468,52.380663,0
150,749000.0,5,30.0,4.90981909560303,52.3686532505277,3
30,389000.0,2,15.0,4.906059,52.374085,3
85,275000.0,4,21.25,4.943931,52.321174,1
79,400000.0,3,26.33333333333333,4.826718,52.343893,2
110,850000.0,2,55.0,4.936223,52.360906,4
203,1700000.0,5,40.6,4.869966,52.349904,0
91,549000.0,5,18.2,4.943456,52.376191,4
115,1375000.0,3,38.333333333333336,4.881814,52.361226,3
72,500000.0,2,36.0,4.887619,52.381092,3
183,575000.0,5,36.6,4.881542,52.41986,0
183,2475000.0,3,61.0,4.897473,52.358943,3
257,1425000.0,4,64.25,4.905372,52.373727,3
117,1695000.0,3,39.0,4.876144,52.358928,0
130,515000.0,4,32.5,4.7836987,52.3496214,2
134,1095000.0,3,44.66666666666666,4.872859,52.335851,0
120,519900.0,5,24.0,4.937065,52.400905,4
88,700000.0,5,17.6,4.902826,52.363883,3
93,280000.0,4,23.25,4.95868,52.309724,1
129,600000.0,4,32.25,4.905853,52.369804,3
120,849000.0,3,40.0,4.893709,52.375387,3
374,3680000.0,4,93.5,4.905695,52.385321,3
114,750750.0,4,28.5,4.902864,52.349279,3
128,899000.0,5,25.6,4.960756,52.409584,4
95,895000.0,3,31.666666666666668,4.960756,52.409584,4
131,1085000.0,5,26.2,4.876231,52.347558,0
30,300000.0,3,10.0,4.832087,52.354406,2
82,649000.0,3,27.33333333333333,4.910725,52.370289,3
105,785000.0,5,21.0,4.910725,52.370289,3
94,565000.0,3,31.33333333333333,4.825673,52.361323,2
133,1395000.0,3,44.333333333333336,4.898884,52.418864,4
102,795000.0,3,34.0,4.884579,52.364626,3
121,1200000.0,4,30.25,4.881097,52.368746,3
146,995000.0,3,48.66666666666666,4.895233,52.365084,3
127,775000.0,3,42.333333333333336,4.895121,52.361947,3
148,825000.0,3,49.333333333333336,4.895224,52.361929,3
258,1249000.0,5,51.6,4.967897,52.410672,4
100,380000.0,4,25.0,4.80256,52.380679,2
120,450000.0,5,24.0,4.956167,52.317822,1
66,399000.0,2,33.0,4.923315,52.379524,4
102,650000.0,3,34.0,4.877436,52.375551,0
139,1599000.0,5,27.8,4.868596,52.361672,0
127,629000.0,4,31.75,4.794478,52.338652,2
69,359000.0,4,17.25,4.965813,52.381514,4
75,419000.0,4,18.75,4.952089,52.36658,4
60,250000.0,3,20.0,4.945909,52.320409,1
104,320000.0,5,20.8,4.976237,52.296421,1
115,415000.0,4,28.75,4.961952,52.321743,1
124,750000.0,5,24.8,4.918831,52.363292,3
73,420000.0,3,24.33333333333333,4.859128,52.327841,0
63,525000.0,3,21.0,4.892914,52.384794,3
107,550000.0,4,26.75,4.997979,52.354825,1
60,450000.0,4,15.0,4.928173,52.355788,3
54,425000.0,3,18.0,4.861234,52.346145,0
95,675000.0,3,31.666666666666668,4.906809,52.353645,3
150,1150000.0,5,30.0,4.853623,52.360284,0
131,1250000.0,4,32.75,4.878356,52.394101,0
158,1450000.0,4,39.5,4.878463,52.394178,0
80,345000.0,3,26.666666666666668,4.795934,52.350007,2
56,425000.0,3,18.666666666666668,4.880816,52.37278,0
60,250000.0,2,30.0,4.947171,52.325081,1
59,485000.0,3,19.666666666666668,4.925675,52.358255,3
166,1200000.0,5,33.2,4.872275,52.362146,0
71,325000.0,4,17.75,4.827036,52.353376,2
39,275000.0,2,19.5,4.839165,52.37701,0
78,365000.0,3,26.0,4.886519,52.331919,3
84,300000.0,4,21.0,4.991578,52.293948,1
67,485000.0,3,22.33333333333333,4.874335,52.379574,0
87,725000.0,4,21.75,4.881073,52.382434,0
87,325000.0,3,29.0,4.788052,52.349876,2
61,225000.0,3,20.33333333333333,4.945309,52.319741,1
100,690000.0,3,33.333333333333336,4.881116,52.393955,0
114,825000.0,3,38.0,4.866454,52.362822,0
53,239000.0,3,17.666666666666668,4.977675,52.324231,1
49,400000.0,2,24.5,4.872222,52.366766,0
58,430000.0,3,19.33333333333333,4.849307,52.35303,0
65,485000.0,3,21.666666666666668,4.940682,52.349698,4
44,300000.0,2,22.0,4.85225,52.367037,0
61,550000.0,3,20.33333333333333,4.884848,52.352502,3
41,325000.0,2,20.5,4.867459,52.375562,0
29,250000.0,2,14.5,4.872989,52.366428,0
109,675000.0,3,36.333333333333336,4.8479,52.372221,0
91,295000.0,4,22.75,4.795401,52.348468,2
92,350000.0,3,30.666666666666668,4.954434,52.393227,4
98,375000.0,5,19.6,4.990488,52.292974,1
53,360000.0,2,26.5,4.860817,52.380045,0
85,325000.0,4,21.25,4.901357,52.419916,4
61,250000.0,2,30.5,4.812509,52.383676,2
102,550000.0,3,34.0,4.945592,52.362164,4
76,325000.0,3,25.33333333333333,4.910084,52.406722,4
26,235000.0,2,13.0,4.944758,52.36173,4
56,450000.0,2,28.0,4.904866,52.354123,3
71,245000.0,3,23.666666666666668,4.98042,52.299114,1
153,1400000.0,4,38.25,4.875155,52.346664,0
90,650000.0,3,30.0,4.900901,52.386904,3
67,465000.0,3,22.33333333333333,4.846172,52.351371,0
104,735000.0,3,34.666666666666664,4.87459,52.347318,0
93,675000.0,4,23.25,4.902853,52.358348,3
78,425000.0,2,39.0,4.837463,52.376658,0
90,635000.0,3,30.0,4.891367,52.389872,3
